Serial        VIOS            FC     ENTNODE                        WWN                      FAB TPORTS APORTS ON   OFF  LEFT PERC     SCSCI_ID PORT_DEC PORT_LABEL STATUS   SPEED  ERR   LABEL              GD
HEX-78C65C8   P10B_SRV2VIO3   fcs7   U5B61.001.WZS030H-P0-C4-T3     10:00:70:b7:e4:0c:be:bc  1   255    255    0    0    255  0%       164640   326      LGP38      Up       32G    0     GD6_72             GD6
HEX-78C65C8   P10B_SRV2VIO3_M fcs0   U78D8.ND0.FGD0622-P0-C4-C0-T0  10:00:70:b7:e4:29:79:d7  1   255    255    0    0    255  0%       0bcb00   203      LEP11      Up       32G    0     GD4_MON_70         GD4
HEX-78C65C8   P10B_SRV2VIO3_M fcs1   U78D8.ND0.FGD0622-P0-C4-C0-T1  10:00:70:b7:e4:29:79:d8  1   255    255    0    0    255  0%       168b00   139      LCP43      Up       32G    0     GD5_MON_72         GD5
HEX-78C65C8   P10B_SRV2VIO3_M fcs4   U78D8.ND1.FGD05TL-P0-C4-C0-T0  10:00:70:b7:e4:29:79:eb  1   255    255    0    0    255  0%       0b8b00   139      LCP43      Up       32G    0     GD5_MON_70         GD5
HEX-78C65C8   P10B_SRV2VIO3_M fcs5   U78D8.ND1.FGD05TL-P0-C4-C0-T1  10:00:70:b7:e4:29:79:ec  1   255    255    0    0    255  0%       16cb00   203      LEP11      Up       32G    0     GD4_MON_72         GD4
HEX-78C65C8   P10B_SRV2VIO4   fcs0   U78D8.ND1.FGD05TL-P0-C7-C0-T0  10:00:70:b7:e4:29:7a:6e  1   255    255    0    0    255  0%       0be200   226      LEP34      Up       32G    0     GD5_80             GD5
HEX-78C65C8   P10B_SRV2VIO4   fcs1   U78D8.ND1.FGD05TL-P0-C7-C0-T1  10:00:70:b7:e4:29:7a:6f  1   255    254    1    0    254  0.39%    168400   132      LCP36      Up       32G    0     GD4_82             GD4
HEX-78C65C8   P10B_SRV2VIO4   fcs2   U78D8.ND1.FGD05TL-P0-C7-C0-T2  10:00:70:b7:e4:29:7a:70  1   255    255    0    0    255  0%       0bee40   494      LKP14      Up       32G    0     GD6_80             GD6
HEX-78C65C8   P10B_SRV2VIO4   fcs4   U5B61.001.WZS030Y-P0-C4-T0     10:00:70:b7:e4:0c:bd:b9  1   255    255    0    0    255  0%       0b8400   132      LCP36      Up       32G    0     GD4_80             GD4
HEX-78C65C8   P10B_SRV2VIO4   fcs5   U5B61.001.WZS030Y-P0-C4-T1     10:00:70:b7:e4:0c:bd:ba  1   255    255    0    0    255  0%       16e200   226      LEP34      Up       32G    0     GD5_82             GD5
HEX-78C65C8   P10B_SRV2VIO4   fcs7   U5B61.001.WZS030Y-P0-C4-T3     10:00:70:b7:e4:0c:bd:bc  1   255    255    0    0    255  0%       16ee40   494      LKP14      Up       32G    0     GD6_82             GD6
HEX-78C65C8   P10B_SRV2VIO4_M fcs0   U78D8.ND2.FGD062Y-P0-C7-C0-T0  10:00:70:b7:e4:29:69:a5  1   255    255    0    0    255  0%       0b3940   313      LGP25      Up       32G    0     GD4_MON_80         GD4
HEX-78C65C8   P10B_SRV2VIO4_M fcs1   U78D8.ND2.FGD062Y-P0-C7-C0-T1  10:00:70:b7:e4:29:69:a6  1   255    255    0    0    255  0%       16e500   229      LEP37      Up       32G    0     GD5_MON_82         GD5
HEX-78C65C8   P10B_SRV2VIO4_M fcs4   U78D8.ND3.FGD06AV-P0-C7-C0-T0  10:00:70:b7:e4:29:69:91  1   255    255    0    0    255  0%       0be500   229      LEP37      Up       32G    0     GD5_MON_80         GD5
HEX-78C65C8   P10B_SRV2VIO4_M fcs5   U78D8.ND3.FGD06AV-P0-C7-C0-T1  10:00:70:b7:e4:29:69:92  1   255    255    0    0    255  0%       163940   313      LGP25      Up       32G    0     GD4_MON_82         GD4
HEX-78C65D8   P10B_SRV1VIO1   fcs0   U78D8.ND0.FGD065A-P0-C7-C0-T0  10:00:70:b7:e4:10:05:cd  1   255    255    0    0    255  0%       332300   35       LAP35      Up       32G    0     GD1_70             GD1             
HEX-78C65D8   P10B_SRV1VIO1   fcs1   U78D8.ND0.FGD065A-P0-C7-C0-T1  10:00:70:b7:e4:10:05:ce  1   255    255    0    0    255  0%       3ec400   196      LEP4       Up       32G    0     GD3_72             GD3             
HEX-78C65D8   P10B_SRV1VIO1   fcs4   U78D8.ND1.FGD0635-P0-C0-C0-T0  10:00:70:b7:e4:0f:10:ab  1   255    255    0    0    255  0%       338240   386      LIP2       Up       32G    0     GD2_70             GD2             
HEX-78C65D8   P10B_SRV1VIO1   fcs5   U78D8.ND1.FGD0635-P0-C0-C0-T1  10:00:70:b7:e4:0f:10:ac  1   255    255    0    0    255  0%       3e8040   384      LIP0       Up       32G    0     GD1_72             GD1             
HEX-78C65D8   P10B_SRV1VIO1   fcs6   U5B61.001.WZS02ZH-P0-C0-T0     10:00:70:b7:e4:0c:fe:23  1   255    255    0    0    255  0%       33c400   196      LEP4       Up       32G    0     GD3_70             GD3             
HEX-78C65D8   P10B_SRV1VIO1   fcs7   U5B61.001.WZS02ZH-P0-C0-T1     10:00:70:b7:e4:0c:fe:24  1   255    255    0    0    255  0%       3e2300   35       LAP35      Up       32G    0     GD2_72             GD2             
HEX-78C65D8   P10B_SRV1VIO1_M fcs0   U78D8.ND2.FGD0698-P0-C0-C0-T0  10:00:70:b7:e4:0f:09:06  1   255    255    0    0    255  0%       338040   384      LIP0       Up       32G    0     GD1_MON_70         GD1
HEX-78C65D8   P10B_SRV1VIO1_M fcs1   U78D8.ND2.FGD0698-P0-C0-C0-T1  10:00:70:b7:e4:0f:09:07  1   255    254    1    0    254  0.39%    3e8240   386      LIP2       Up       32G    0     GD2_MON_72         GD2
HEX-78C65D8   P10B_SRV1VIO1_M fcs2   U78D8.ND3.FGD069T-P0-C0-C0-T0  10:00:70:b7:e4:29:7a:7d  1   255    254    1    0    254  0.39%    33c000   192      LEP0       Up       32G    0     GD2_MON_70         GD2
HEX-78C65D8   P10B_SRV1VIO1_M fcs3   U78D8.ND3.FGD069T-P0-C0-C0-T1  10:00:70:b7:e4:29:7a:7e  1   255    255    0    0    255  0%       3ec000   192      LEP0       Up       32G    0     GD1_MON_72         GD1
HEX-78C65D8   P10B_SRV1VIO2   fcs0   U78D8.ND2.FGD0698-P0-C2-C0-T0  10:00:70:b7:e4:09:a4:82  1   255    255    0    0    255  0%       336800   104      LCP8       Up       32G    0     GD1_80             GD1
HEX-78C65D8   P10B_SRV1VIO2   fcs1   U78D8.ND2.FGD0698-P0-C2-C0-T1  10:00:70:b7:e4:09:a4:83  1   255    255    0    0    255  0%       3e2a40   298      LGP10      Up       32G    0     GD3_82             GD3
HEX-78C65D8   P10B_SRV1VIO2   fcs4   U78D8.ND3.FGD069T-P0-C2-C0-T0  10:00:70:b7:e4:0f:10:2a  1   255    255    0    0    255  0%       33ec40   492      LKP12      Up       32G    0     GD2_80             GD2
HEX-78C65D8   P10B_SRV1VIO2   fcs5   U78D8.ND3.FGD069T-P0-C2-C0-T1  10:00:70:b7:e4:0f:10:2b  1   255    255    0    0    255  0%       3ee540   485      LKP5       Up       32G    0     GD1_82             GD1
HEX-78C65D8   P10B_SRV1VIO2   fcs6   U5B61.001.WZS02W1-P0-C0-T0     10:00:70:b7:e4:0c:be:be  1   255    255    0    0    255  0%       332a40   298      LGP10      Up       32G    0     GD3_80             GD3
HEX-78C65D8   P10B_SRV1VIO2   fcs7   U5B61.001.WZS02W1-P0-C0-T1     10:00:70:b7:e4:0c:be:bf  1   255    255    0    0    255  0%       3e6800   104      LCP8       Up       32G    0     GD2_82             GD2
HEX-78C65D8   P10B_SRV1VIO2_M fcs0   U78D8.ND0.FGD065A-P0-C2-C0-T0  10:00:70:b7:e4:0f:08:b1  1   255    255    0    0    255  0%       33e540   485      LKP5       Up       32G    0     GD1_MON_80         GD1
HEX-78C65D8   P10B_SRV1VIO2_M fcs1   U78D8.ND0.FGD065A-P0-C2-C0-T1  10:00:70:b7:e4:0f:08:b2  1   255    254    1    0    254  0.39%    3eec40   492      LKP12      Up       32G    0     GD2_MON_82         GD2
HEX-78C65D8   P10B_SRV1VIO2_M fcs2   U78D8.ND1.FGD0635-P0-C2-C0-T0  10:00:70:b7:e4:29:6c:d2  1   255    254    1    0    254  0.39%    332340   291      LGP3       Up       32G    0     GD2_MON_80         GD2
HEX-78C65D8   P10B_SRV1VIO2_M fcs3   U78D8.ND1.FGD0635-P0-C2-C0-T1  10:00:70:b7:e4:29:6c:d3  1   255    255    0    0    255  0%       3e2340   291      LGP3       Up       32G    0     GD1_MON_82         GD1
HEX-78C65D8   P10B_SRV1VIO3   fcs0   U78D8.ND2.FGD0698-P0-C4-C0-T0  10:00:70:b7:e4:10:05:a5  1   255    255    0    0    255  0%       0b8600   134      LCP38      Up       32G    0     GD5_70             GD5
HEX-78C65D8   P10B_SRV1VIO3   fcs1   U78D8.ND2.FGD0698-P0-C4-C0-T1  10:00:70:b7:e4:10:05:a6  1   255    254    1    0    254  0.39%    162600   38       LAP38      Up       32G    0     GD4_72             GD4
HEX-78C65D8   P10B_SRV1VIO3   fcs2   U78D8.ND2.FGD0698-P0-C4-C0-T2  10:00:70:b7:e4:10:05:a7  1   255    255    0    0    255  0%       0be900   233      LEP41      Up       32G    0     GD6_70             GD6
HEX-78C65D8   P10B_SRV1VIO3   fcs4   U5B61.001.WZS02ZH-P0-C4-T0     10:00:70:b7:e4:10:06:b9  1   255    254    1    0    254  0.39%    0b2600   38       LAP38      Up       32G    0     GD4_70             GD4
HEX-78C65D8   P10B_SRV1VIO3   fcs5   U5B61.001.WZS02ZH-P0-C4-T1     10:00:70:b7:e4:10:06:ba  1   255    255    0    0    255  0%       168600   134      LCP38      Up       32G    0     GD5_72             GD5
HEX-78C65D8   P10B_SRV1VIO3   fcs7   U5B61.001.WZS02ZH-P0-C4-T3     10:00:70:b7:e4:10:06:bc  1   255    255    0    0    255  0%       16e900   233      LEP41      Up       32G    0     GD6_72             GD6
HEX-78C65D8   P10B_SRV1VIO3_M fcs0   U78D8.ND0.FGD065A-P0-C4-C0-T0  10:00:70:b7:e4:09:a4:7d  1   255    255    0    0    255  0%       0bc700   199      LEP7       Up       32G    0     GD4_MON_70         GD4
HEX-78C65D8   P10B_SRV1VIO3_M fcs1   U78D8.ND0.FGD065A-P0-C4-C0-T1  10:00:70:b7:e4:09:a4:7e  1   255    255    0    0    255  0%       168800   136      LCP40      Up       32G    0     GD5_MON_72         GD5
HEX-78C65D8   P10B_SRV1VIO3_M fcs4   U78D8.ND1.FGD0635-P0-C4-C0-T0  10:00:70:b7:e4:10:05:23  1   255    255    0    0    255  0%       0b8800   136      LCP40      Up       32G    0     GD5_MON_70         GD5
HEX-78C65D8   P10B_SRV1VIO3_M fcs5   U78D8.ND1.FGD0635-P0-C4-C0-T1  10:00:70:b7:e4:10:05:24  1   255    255    0    0    255  0%       16c700   199      LEP7       Up       32G    0     GD4_MON_72         GD4
HEX-78C65D8   P10B_SRV1VIO4   fcs0   U78D8.ND1.FGD0635-P0-C7-C0-T0  10:00:70:b7:e4:10:04:f5  1   255    255    0    0    255  0%       0bce00   206      LEP14      Up       32G    0     GD5_80             GD5
HEX-78C65D8   P10B_SRV1VIO4   fcs1   U78D8.ND1.FGD0635-P0-C7-C0-T1  10:00:70:b7:e4:10:04:f6  1   255    254    1    0    254  0.39%    167d00   125      LCP29      Up       32G    0     GD4_82             GD4
HEX-78C65D8   P10B_SRV1VIO4   fcs2   U78D8.ND1.FGD0635-P0-C7-C0-T2  10:00:70:b7:e4:10:04:f7  1   255    255    0    0    255  0%       0b8840   392      LIP8       Up       32G    0     GD6_80             GD6
HEX-78C65D8   P10B_SRV1VIO4   fcs4   U5B61.001.WZS02W1-P0-C4-T0     10:00:70:b7:e4:10:06:fa  1   255    254    1    0    254  0.39%    0b7d00   125      LCP29      Up       32G    0     GD4_80             GD4
HEX-78C65D8   P10B_SRV1VIO4   fcs5   U5B61.001.WZS02W1-P0-C4-T1     10:00:70:b7:e4:10:06:fb  1   255    255    0    0    255  0%       16ce00   206      LEP14      Up       32G    0     GD5_82             GD5
HEX-78C65D8   P10B_SRV1VIO4   fcs7   U5B61.001.WZS02W1-P0-C4-T3     10:00:70:b7:e4:10:06:fd  1   255    255    0    0    255  0%       168840   392      LIP8       Up       32G    0     GD6_82             GD6
HEX-78C65D8   P10B_SRV1VIO4_M fcs0   U78D8.ND2.FGD0698-P0-C7-C0-T0  10:00:70:b7:e4:10:05:32  1   255    255    0    0    255  0%       0b3140   305      LGP17      Up       32G    0     GD4_MON_80         GD4
HEX-78C65D8   P10B_SRV1VIO4_M fcs1   U78D8.ND2.FGD0698-P0-C7-C0-T1  10:00:70:b7:e4:10:05:33  1   255    255    0    0    255  0%       16e400   228      LEP36      Up       32G    0     GD5_MON_82         GD5
HEX-78C65D8   P10B_SRV1VIO4_M fcs4   U78D8.ND3.FGD069T-P0-C7-C0-T0  10:00:70:b7:e4:10:05:b9  1   255    255    0    0    255  0%       0be400   228      LEP36      Up       32G    0     GD5_MON_80         GD5
HEX-78C65D8   P10B_SRV1VIO4_M fcs5   U78D8.ND3.FGD069T-P0-C7-C0-T1  10:00:70:b7:e4:10:05:ba  1   255    255    0    0    255  0%       163140   305      LGP17      Up       32G    0     GD4_MON_82         GD4
